"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub"
"The art historian Gail Levin says the Arthayer R. Sanborn Collection was acquired simply by carrying works out of the childhood home of Edward Hopper.","The art historian Gail Levin says the Arthayer R. Sanborn Collection was acquired simply by carrying works out of the childhood home of Edward Hopper.","NYACK, N.Y. — The wide-planked floors creak, and the marble sink upstairs has cracks. But Edward Hopper’s boyhood home here can still withstand the winds coming off the nearby Hudson River, the inspiration for the artist’s early nautical paintings. ","The New York Times","2012-11-20T22:40:42+0000","article","Arts","News","nyt://article/495008fe-97d5-5cd0-8524-e432abaf12d6","Art & Design","Hopper Expert Questions How Minister Got an Art Trove",NA,NA,"Hopper Expert Questions How Minister Got an Art Trove",NA,NA,NA
"As the former Texas congressman weighs a run for president, his rebel-in-moderation youth offers revealing parallels to his search for direction now.","As the former Texas congressman weighs a run for president, his rebel-in-moderation youth offers revealing parallels to his search for direction now.","All at once, New York City seemed to be conspiring against Beto O’Rourke.","The New York Times","2019-02-06T19:34:38+0000","article","U.S.","News","nyt://article/0bd38e07-fd89-58b4-a161-3fef48200f35","Politics","Beto O’Rourke Was Once Adrift in New York City. Now He’s Searching Again.","The Long Run",NA,"A Young O’Rourke in the City, Searching for a Path Then, Too",NA,NA,NA
"Climate change is a global problem that we must address in our own lives.","Climate change is a global problem that we must address in our own lives.","I am from a place where it is impossible not to have the idea of climate disaster circling about my head. My family is from the rural part of eastern North Carolina. Environmental justice, as a term, emerges from the sit-ins that happened in Warren County, N.C., when Ben Chavis interjected environmentalism into the mainstream Black American civil rights movement frame.","The New York Times","2021-09-17T19:55:28+0000","article","Opinion","Op-Ed","nyt://article/55fe7342-3aae-572b-8c3a-627ce4cd234f",NA,"The Disaster We Must Think About Every Day","Tressie McMillan Cottom",NA,NA,NA,NA,NA
"The happy household of a onetime tabloid curiosity.","The happy household of a onetime tabloid curiosity.","LAGUNA NIGUEL, Calif. — The 9-year-olds have matching button noses; toothy grins; roaming, smiling eyes. Noah and Josiah are Nordic blond and fair, Nariyah and Maliyah olive and deeply brunette, and their four brothers — Jonah, Jeremiah, Isaiah and Makai — run the gamut. Octuplets.","The New York Times","2018-12-15T11:00:01+0000","article","Style","News","nyt://article/5b07b77b-7773-50fb-a296-846db144ba03",NA,"The Octomom Has Proved Us All Wrong ",NA,NA,"Octomom Speaks",NA,NA,NA
"In the six years since her marriage to one of the yoga world’s luminaries, Colleen Saidman Yee has become a star in her own right.","In the six years since her marriage to one of the yoga world’s luminaries, Colleen Saidman Yee has become a star in her own right.","Vaguely indicating the lower torso, the word “core” has been rippling (as it were) through American fitness programs for about a decade. But the yogini Colleen Saidman Yee likes to be more specific.","The New York Times","2013-04-05T20:47:54+0000","article","Fashion & Style","News","nyt://article/127b11b1-e0ce-5b13-b8f7-a2bb1a2f3ab6",NA,"The First Lady of Yoga",NA,NA,"The First Lady of Yoga",NA,NA,NA
"The loss of off-season activities could prove especially harmful to a Jaguars pass offense that’s young and still needing to come together. Defensively, if you can’t pressure the quarterback these days, you generally can’t win.","The loss of off-season activities could prove especially harmful to a Jaguars pass offense that’s young and still needing to come together. Defensively, if you can’t pressure the quarterback these days, you generally can’t win.","Andy Benoit is previewing all 32 N.F.L. teams. He starts his look at the A.F.C. South with the Jaguars. ","The New York Times","2011-08-17T10:00:13+0000","article","Sports","News","nyt://article/71e02147-e1ba-59c6-8508-9b83355a98fc",NA,"2011 Jacksonville Jaguars Season Preview","The Fifth Down",NA,NA,NA,NA,NA
"Under Mayor Bill de Blasio, the longtime fraternity of city government looks more like a sorority, with women outnumbering men in the administration’s top ranks.","Under Mayor Bill de Blasio, the longtime fraternity of city government looks more like a sorority, with women outnumbering men in the administration’s top ranks.","With Manhattan still cloaked in early-morning darkness, New York City’s new sanitation commissioner stepped into a semicircle of 40 men holding brooms and dustpans as they finished roll call and prepared to clean the streets of the Village.","The New York Times","2014-05-09T16:40:09+0000","article","New York","News","nyt://article/51dde417-8ac2-5086-9545-2c0c07724b14",NA,"The Women of New York’s City Hall",NA,NA,"The Women of City Hall",NA,NA,NA
"She already felt a mystical connection with the director Pedro Almodóvar. For their seventh collaboration, “Parallel Mothers,” she gave her all, even collapsing after one scene.","She already felt a mystical connection with the director Pedro Almodóvar. For their seventh collaboration, “Parallel Mothers,” she gave her all, even collapsing after one scene.","You have to wonder if Penélope Cruz manifested her first phone call from Pedro Almodóvar. As a young girl growing up in Madrid, she watched Betamax tapes of his movies over and over, hoping that the Spanish auteur might find a place for her in his bright and bold world. She dreamed about it so often that the day he did phone her about a role, it didn’t even feel like the first call — it felt like the tenth, or the hundredth, from someone she already knew very well.","The New York Times","2022-01-12T10:00:17+0000","article","Movies","News","nyt://article/30b67def-5627-5755-b74b-3cefd9f3bfda",NA,"The Visions of Penélope Cruz","The Projectionist",NA,"The Visions of Penélope Cruz",NA,NA,NA
"For families in West Virginia, which has had especially sharp drops in child poverty over the past three decades, the shift has played out in ways not fully captured by statistics.","For families in West Virginia, which has had especially sharp drops in child poverty over the past three decades, the shift has played out in ways not fully captured by statistics.","HUNTINGTON, W.Va. — When Cecelia Jackson was born nearly three decades ago, about a quarter of American children were poor, a head count of hardship that for most of her childhood included her.","The New York Times","2022-09-12T15:47:44+0000","article","U.S.","News","nyt://article/446c2aee-ac9f-55d2-9b66-c7c7db5a108c","Politics","How Poverty Programs Aided Children From One Generation to the Next",NA,NA,"Families Lifted by Safety Net Tell Their Stories",NA,NA,NA
"Women have a much harder time becoming a chief executive and hold well under 10 percent of such jobs, but those who do earn the same as men.","Women have a much harder time becoming a chief executive and hold well under 10 percent of such jobs, but those who do earn the same as men.","If you were Marissa Mayer of Yahoo, making nearly $25 million for one year’s worth of work — not to mention getting $50,000 in company-paid personal security — the gender pay gap would probably not be a major concern. Women scaling the heights of corporate America tend to have compensation packages that are as jaw-droppingly gigantic as men at a similar level.","The New York Times","2014-06-07T20:40:51+0000","article","Business Day","News","nyt://article/175c40fa-ebcf-5326-b513-2be9f3545080",NA,"An Elusive Jackpot",NA,NA,"An Elusive Jackpot",NA,NA,NA
"An exhibition at the Whitney Museum of American Art exploring Hopper’s vision of New York has also rekindled questions about how a Baptist minister came to own so much of his art.","An exhibition at the Whitney Museum of American Art exploring Hopper’s vision of New York has also rekindled questions about how a Baptist minister came to own so much of his art.","An exhibition opening Wednesday at the Whitney Museum of American Art examines Edward Hopper’s New York, where the artist enjoyed the theater, fought development and, in a bustling city teeming with people, often chose to depict the quiet of its empty rooftops and the isolation of life inside its apartment silos.","The New York Times","2022-10-19T14:00:09+0000","article","Arts","News","nyt://article/bb2882a4-828f-5e0a-9137-527c204ed013","Art & Design","How Did a Minister Come to Own Hundreds of Edward Hoppers?",NA,NA,"How Did a Minister Acquire Hundreds of Hopper Artworks?",NA,NA,NA
"It’s humbling to care for an animal that reminds you, each day, of your own imminent death.","It’s humbling to care for an animal that reminds you, each day, of your own imminent death.","Every morning, Fred takes a walk around my parents’ yard in suburban Honolulu. The yard, though small, around 600 square feet, is beautiful, green and cool and jungly, densely planted with lacy native ferns and heavy-headed crimson heliconia and fragrant with white flowers: gardenia, plumeria, ginger, night-blooming jasmine. Fred is 15 years old and 80 pounds, and since my parents adopted him two years ago, he has never left this yard. When he is dozing in the shade, the old shower trees outside the picket fence that surrounds the yard rain their pink and yellow petals down on him.","The New York Times","2017-05-17T09:00:21+0000","article","Magazine","News","nyt://article/e80ebb34-4850-5fa3-9303-2d2e5ba86530",NA,"A Pet Tortoise Who Will Outlive Us All","The Health Issue",NA,"Fred Everlasting",NA,NA,NA
"PACE, a Medicare program that helps keep older people in their own homes, is allowing for-profit companies in. Tech and venture capital have expressed interest.","PACE, a Medicare program that helps keep older people in their own homes, is allowing for-profit companies in. Tech and venture capital have expressed interest.","DENVER — Inside a senior center here, nestled along a bustling commercial strip, Vivian Malveaux scans her bingo card for a winning number. Her 81-year-old eyes are warm, lively and occasionally set adrift by the dementia plundering her mind.","The New York Times","2016-08-20T09:00:25+0000","article","Business Day","News","nyt://article/bebef629-6b82-520d-b590-d83fb72f779e",NA,"Private Equity Pursues Profits in Keeping the Elderly at Home",NA,NA,"Private Equity’s Stake in Keeping the Elderly at Home",NA,NA,NA
"When do economic imbalances in marriages matter?","When do economic imbalances in marriages matter?","Why are more American men marrying women who make more money than they do? Maybe it is the simple fact that more higher-earning women are available. And social norms have changed, with the benefits of such unions supposedly winning out over the perceived blow to the male ego. ","The New York Times","2010-01-25T00:00:12+0000","article","Opinion",NA,"nyt://article/ddcb64ff-360b-555c-b411-b4af748507f6",NA,"Alpha Wives: The Trend and the Truth","Room for Debate",NA,NA,NA,NA,NA
"The wryest of Hollywood royals recalls life with Daddy’s dummy, marriage to Louis Malle and a comedic career for the ages.","The wryest of Hollywood royals recalls life with Daddy’s dummy, marriage to Louis Malle and a comedic career for the ages.","There may be some things more fun than hanging out with Candice Bergen and talking about Michael Caine, Sean Connery, Steve McQueen, Jack Nicholson, Princess Diana, Princess Grace, John Belushi, Donald Trump, Charles Manson, getting fat, getting old, getting wrinkled and not giving a damn.","The New York Times","2020-12-05T10:00:17+0000","article","Style","News","nyt://article/4124e2e1-73b6-5810-92f5-10d41efe9000",NA,"Candice Bergen, Woman Who’s Had It All","with …",NA,"Hollywood Royal, With a Twist",NA,NA,NA
"All of Janicza Bravo’s previous movies were playing in the place where humor and trauma meet. “Zola” was a natural fit.","All of Janicza Bravo’s previous movies were playing in the place where humor and trauma meet. “Zola” was a natural fit.","","The New York Times","2021-06-16T09:00:12+0000","article","Magazine","News","nyt://article/e4ca62b8-33f9-5904-b38c-cc3a65713154",NA,"How She Transformed a Viral Twitter Thread About Sex Work Into a Sinister Comedy","Feature",NA,"An Unimaginable Trip",NA,NA,NA
"The novelist’s characters have been called “difficult women.” She would say they are simply women with desires.","The novelist’s characters have been called “difficult women.” She would say they are simply women with desires.","The woman had a nervous breakdown in her 20s, and after that she never married. Her father had been in the French Navy, and her childhood was spent in motion: Beirut, Salonika, Algiers. Her brother went to America on a Fulbright, got a degree from Harvard and another in Geneva and traveled the world with his wife and children. She stayed mostly at home in Toulon, caring for her parents into their old age. Occasionally she hinted at a mysterious inner life whose secrets she would not divulge.","The New York Times","2017-08-10T09:00:22+0000","article","Magazine","News","nyt://article/08979a5d-2efa-5c1c-a6e3-f99452e02fb9",NA,"Who’s Afraid of Claire Messud?","Feature",NA,"The Hunger Artist",NA,NA,NA
"Popular ideas about the working class are woefully out of date. Here are nine people who tell a truer story of what the American work force does today — and will do tomorrow.","Popular ideas about the working class are woefully out of date. Here are nine people who tell a truer story of what the American work force does today — and will do tomorrow.","Forget the images of men in hard hats standing before factory gates, of men with coal-blackened faces, of men perched high above New York City on steel beams. The emerging face of the American working class is a Hispanic woman who has never set foot on a factory floor. That’s not the kind of work much of the working class does anymore. Instead of making things, they are more often paid to serve people: to care for someone else’s children or someone else’s parents; to clean another family’s home.","The New York Times","2017-02-23T10:00:05+0000","article","Magazine","News","nyt://article/1db7a1cf-56a0-514a-9c65-68e684ceee55",NA,"The Jobs Americans Do","The Future of Work",NA,"New Jobs",NA,NA,NA
"Every year, thousands of innocent people are sent to jail only because they can’t afford to post bail, putting them at risk of losing their jobs, custody of their children — even their lives.","Every year, thousands of innocent people are sent to jail only because they can’t afford to post bail, putting them at risk of losing their jobs, custody of their children — even their lives.","On the morning of Nov. 20 last year, Tyrone Tomlin sat in the cage of one of the Brooklyn criminal courthouse’s interview rooms, a bare white cinder-block cell about the size of an office cubicle. Hardly visible through the heavy steel screen in front of him was Alison Stocking, the public defender who had just been assigned to his case. Tomlin, exhausted and frustrated, was trying to explain how he came to be arrested the afternoon before. It wasn’t entirely clear to Tomlin himself. Still in his work clothes, his boots encrusted with concrete dust, he recounted what had happened.","The New York Times","2015-08-13T11:00:28+0000","article","Magazine","News","nyt://article/f263d89f-1d62-5d02-8452-b339f2847811",NA,"The Bail Trap","Feature",NA,"The Bail Trap",NA,NA,NA
"Inside the strange symbiosis between Jeff Zucker and the president he helped create.","Inside the strange symbiosis between Jeff Zucker and the president he helped create.","At 3:58 on a recent Wednesday afternoon in Washington, CNN’s largest control room was mostly empty but for a handful of producers hunched over control panels and, hovering behind them, a short, barrel-shaped, restless-looking man in a dark pinstriped suit and open white dress shirt: the president of CNN Worldwide, Jeff Zucker.","The New York Times","2017-04-04T09:00:04+0000","article","Magazine","News","nyt://article/06c3e6b1-0baf-5aad-a6c3-4a1bfa1a9c89",NA,"CNN Had a Problem. Donald Trump Solved It.","Feature",NA,"‘That Is Great Television’",NA,NA,NA
"What will we lose when Najin and Fatu die?","What will we lose when Najin and Fatu die?","To hear more audio stories from publishers like The New York Times, download Audm for iPhone or Android.","The New York Times","2021-01-06T10:00:13+0000","article","Magazine","News","nyt://article/7f2399db-228b-5994-80a4-6fbaaecfe5ee",NA,"The Last Two Northern White Rhinos On Earth",NA,NA,NA,NA,NA,NA
"The Lede is following events in Egypt on Wednesday, as the clock winds down on a 48-hour ultimatum issued by the military to resolve the political crisis and protesters continue to demand the resignation of President Mohamed Morsi after a night of deadly street clashes.","The Lede is following events in Egypt on Wednesday, as the clock winds down on a 48-hour ultimatum issued by the military to resolve the political crisis and protesters continue to demand the resignation of President Mohamed Morsi after a night of...","The Lede followed events in Egypt on Wednesday, where the country’s first democratically elected president, Mohamed Morsi, was deposed by the military following days of mass protests and deadly street clashes.  ","The New York Times","2013-07-03T13:13:04+0000","article","Blogs","News","nyt://article/c834b872-8bc5-5afd-b2de-dad9f9a5d366",NA,"Updates on the Toppling of Morsi","The Lede",NA,NA,NA,NA,NA
"A conversation with the poet of Ada Limón.","A conversation with the poet of Ada Limón.","Every Tuesday and Friday, Ezra Klein invites you into a conversation about something that matters, like today’s episode with Ada Limón. Listen wherever you get your podcasts.","The New York Times","2022-05-24T16:36:54+0000","article","Podcasts","Op-Ed","nyt://article/fa204f5a-9d71-53ae-b492-0db989b94cb1",NA,"Transcript: Ezra Klein Interviews Ada Limón","The Ezra Klein Show",NA,NA,NA,NA,NA
"It was the biggest disaster in the history of the music business — and almost nobody knew. This is the story of the 2008 Universal fire.","It was the biggest disaster in the history of the music business — and almost nobody knew. This is the story of the 2008 Universal fire.","The fire that swept across the backlot of Universal Studios Hollywood on Sunday, June 1, 2008, began early that morning, in New England. At 4:43 a.m., a security guard at the movie studio and theme park saw flames rising from a rooftop on the set known as New England Street, a stretch of quaint Colonial-style buildings where small-town scenes were filmed for motion pictures and television shows. That night, maintenance workers had repaired the roof of a building on the set, using blowtorches to heat asphalt shingles. They finished the job at 3 a.m. and, following protocol, kept watch over the site for another hour to ensure that the shingles had cooled. But the roof remained hot, and some 40 minutes after the workers left, one of the hot spots flared up.","The New York Times","2019-06-11T09:00:11+0000","article","Magazine","News","nyt://article/bae382af-283c-5e9a-9cf8-089f791d282d",NA,"The Day the Music Burned","Feature",NA,"The Day The Music Burned ",NA,NA,NA
"The Aug. 16, 2022 episode of ‘The Ezra Klein Show’","The Aug. 16, 2022 episode of ‘The Ezra Klein Show’","Every Tuesday and Friday, Ezra Klein invites you into a conversation about something that matters, like today’s episode with Anne Helen Petersen and Charlie Warzel, guest hosted by our senior editor, Rogé Karma. Listen wherever you get your podcasts.","The New York Times","2022-08-16T14:18:18+0000","article","Podcasts","Op-Ed","nyt://article/26c0fe80-3ce6-5f33-a87a-d60e3de833a9",NA,"Transcript: Ezra Klein Interview with Anne Helen Petersen and Charlie Warzel","The Ezra Klein Show",NA,NA,NA,NA,NA
"A reader responds to a recent review of Karen Joy Fowler’s “We Are All Completely Beside Ourselves.”","A reader responds to a recent review of Karen Joy Fowler’s “We Are All Completely Beside Ourselves.”","To the Editor:","The New York Times","2013-06-20T19:35:21+0000","article","Books","Letter","nyt://article/3fe2e5dc-a3fe-5285-b8e3-f186fad58929","Book Review","Primate Subjects","Letter",NA,"Primate Subjects",NA,NA,NA
"A writer from the A.C.L.U. says a new Pentagon policy is flawed because women get more paid leave than men do.","A writer from the A.C.L.U. says a new Pentagon policy is flawed because women get more paid leave than men do.","To the Editor:","The New York Times","2016-02-17T16:58:46+0000","article","Opinion","Letter","nyt://article/f08bb876-72ce-570a-9b95-0a2bf06eab1f",NA,"For Pentagon Equity in Parental Leave","Letter",NA,NA,NA,NA,NA
"Doctors and other readers respond to two opinion articles.","Doctors and other readers respond to two opinion articles."," ","The New York Times","2012-11-05T00:29:34+0000","article","Opinion","Letter","nyt://article/55582489-5be0-546d-9695-3ad015a2c45c",NA,"The Debate About Assisted Suicide","Letters",NA,"The Debate About Assisted Suicide",NA,NA,NA
