"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","slideshow_credits"
"Two Brandeis alumni, Shana Danielle Lebowitz, a reporter, and Aaron Spencer Gaynor, a lawyer, are to be wed Nov. 26 in Manhattan.","Two Brandeis alumni, Shana Danielle Lebowitz, a reporter, and Aaron Spencer Gaynor, a lawyer, are to be wed Nov. 26 in Manhattan.","Shana Danielle Lebowitz and Aaron Spencer Gaynor are to be married Nov. 26 by Rabbi Mayer Perelmuter at B'nai Jeshurun in Manhattan.","The New York Times","2017-11-26T05:12:01+0000","article","Fashion & Style","News","nyt://article/c4e6c23e-998a-55cc-9e9b-d8d671b99397","Weddings","Shana Lebowitz, Aaron Gaynor",NA,NA,"Shana Lebowitz,  Aaron Gaynor",NA,NA,NA,NA
"Changes in Medicaid rules have helped some elderly couples cope financially with the illness or nursing home care of one spouse without resorting to an old strategy: divorce.","Changes in Medicaid rules have helped some elderly couples cope financially with the illness or nursing home care of one spouse without resorting to an old strategy: divorce.","WHEN Colin Sandler was in high school in the mid-1980s, her grandparents legally separated after 45 years of marriage. This was not because their marriage was troubled, but because her grandfather had fallen ill and medical bills threatened to consume their entire life savings and all their income, leaving Ms. Sandler’s grandmother penniless.","The New York Times","2013-11-19T23:17:38+0000","article","Your Money","News","nyt://article/497ca796-7673-5f3f-b180-dadc5e653e73",NA,"Medicaid Help Without Falling Into Poverty",NA,NA,"Medicaid Help Without Falling Into Poverty",NA,NA,NA,NA
"As as senior center concierge, a former semipro football player takes on a range of logistical tasks to help make the residents’ days safer and happier.","As as senior center concierge, a former semipro football player takes on a range of logistical tasks to help make the residents’ days safer and happier.","Terry Bowen, 59, is a concierge for Aegis on Madison, a senior care center in Seattle.","The New York Times","2015-09-19T12:33:25+0000","article","Job Market","Question","nyt://article/cf6a6242-63d7-58f9-be58-c1069fb97d71",NA,"Terry Bowen: A Utility Player for the Elderly","Vocations",NA,"Utility Player for the Elderly",NA,NA,NA,NA
"Debra Drelich, a specialist in geriatric care,  answers questions about the types of facilities for assisted living, age guidelines, licensure  and “aging gracefully in place.”","Debra Drelich, a specialist in geriatric care,  answers questions about the types of facilities for assisted living, age guidelines, licensure  and “aging gracefully in place.”","Readers have sent more than 100  questions and suggestions to Debra Drelich, a specialist in geriatric care, about assisted living and other special living arrangements for aging relatives.","The New York Times","2013-10-16T15:20:21+0000","article","Booming","Question","nyt://article/c6602e58-f951-546e-90e0-10c375c9b955",NA,"Advice About Assisted Living for Aging Relatives, Part 1",NA,NA,NA,NA,NA,NA,NA
"The number of doctors planning to become geriatricians has fallen again. At this point, it’s likely there will never be enough of them.","The number of doctors planning to become geriatricians has fallen again. At this point, it’s likely there will never be enough of them.","Toward the end of each year, Christopher Langston, program director of the Hartford Foundation, undertakes a discouraging task. He wades through the statistics on graduate medical education, published annually in The Journal of the American Medical Association, and digs out the bad news about geriatrics.","The New York Times","2013-01-09T17:35:01+0000","article","Health","News","nyt://article/1b39ccf5-d725-5ad4-b793-7c4f782d8f31",NA,"Even Fewer Geriatricians in Training","The New Old Age",NA,NA,NA,NA,NA,NA
"“I won’t be around for all that,” the 82-year-old master of musical Minimalism said. “It doesn’t matter.”","“I won’t be around for all that,” the 82-year-old master of musical Minimalism said. “It doesn’t matter.”","STANFORD, Calif. — A Joan Mitchell painting looms at the top of the grand staircase at the Anderson Collection, Stanford University’s modern art museum here. It’s a sweaty, emotive work, bright colors moodily smeared across a huge canvas.","The New York Times","2019-11-07T10:00:25+0000","article","Arts","News","nyt://article/68a46b87-eb79-5f6b-9903-01986027c8ca","Music","Philip Glass Is Too Busy to Care About Legacy",NA,NA,"‘I’ve Just Kept Going’",NA,NA,NA,NA
"A new type of professional, the health fiduciary, could help older patients with no family or close friends to make medical decisions on their behalf navigate the health care system.","A new type of professional, the health fiduciary, could help older patients with no family or close friends to make medical decisions on their behalf navigate the health care system.","The chilling dilemma of “the unbefriended elderly,” who don’t have family or close friends to make medical decisions on their behalf if they can’t speak for themselves, generated a bunch of ideas the last time we discussed it.","The New York Times","2013-10-24T16:33:58+0000","article","Health","News","nyt://article/18824610-257e-52a3-8a87-fbcc7f24304b",NA,"Hiring an End-of-Life Enforcer","The New Old Age",NA,NA,NA,NA,NA,NA
"A wish list from researchers at the University of California, San Francisco.","A wish list from researchers at the University of California, San Francisco.","We tried, my sister and I. Every fall and winter, we discussed what extremely practical gift we should get our father for his September birthday and for Hanukkah. A flannel shirt, because his current two were fraying. A warm new sweater, because he disliked paying utility bills and always kept his apartment cool. A leather wallet, because his old one, stuffed with years of photos and credit cards and no-longer-relevant ID’s, was held together with rubber bands.","The New York Times","2013-12-18T16:31:09+0000","article","Health","News","nyt://article/5515a0c1-0b31-50f1-be56-4d4780d36a66",NA,"From Scientists, Gift Ideas for the Elderly","The New Old Age",NA,NA,NA,NA,NA,NA
"Parents feel emotionally and financially stressed by caring for young children and older relatives at the same time.","Parents feel emotionally and financially stressed by caring for young children and older relatives at the same time.","This piece is part of “The Price of Modern Parenting.” Read more about the sandwich generation, the cost of adoption and out-of-pocket expenses for preterm births.","The New York Times","2020-02-11T20:26:15+0000","article","Parenting","News","nyt://article/59db40a3-e2ee-54dc-8437-200e72221241",NA,"‘It’s Pretty Brutal’: The Sandwich Generation Pays a Price",NA,NA,NA,NA,NA,NA,NA
"Financial elder abuse statistics are not easy to pin down. It can also sometimes be hard to recognize that there is a problem.","Financial elder abuse statistics are not easy to pin down. It can also sometimes be hard to recognize that there is a problem.","The first time my father was ever robbed, decades ago, he was vacationing in England with my mom. A certified public accountant, he had certain fiscal habits, one of which was to count and order his money, highest denomination bill to lowest, all facing the same way in his wallet. He did this constantly, usually at home after work. In England, though, he performed the rite in the hotel pub. My mother was furious. For good reason. ","The New York Times","2013-12-06T16:00:34+0000","article","Health","News","nyt://article/bafcfb14-a948-5833-9893-470bb64c4c15",NA,"Tracking a Thief, Once You Know There Is One","The New Old Age",NA,NA,NA,NA,NA,NA
"After decades of mistreatment, older Americans are bearing the worst of the pandemic.","After decades of mistreatment, older Americans are bearing the worst of the pandemic.","We knew it from the beginning. A nursing home in Washington State was the center of the first known coronavirus outbreak in the United States. We knew that institutions caring for the elderly and disabled in close quarters would be particularly vulnerable during the pandemic.","The New York Times","2020-05-17T15:00:07+0000","article","Opinion","Op-Ed","nyt://article/ba8ed588-d554-5c19-bc5b-4a4d8e265287",NA,"What’s Behind the Nursing Home Horror",NA,NA,NA,NA,NA,NA,NA
"That sense of reciprocity we often hear from caregivers — ‘she took care of me when I was young, so I need to help out now that she’s old’ — doesn’t seem to apply in late-life stepfamilies.","That sense of reciprocity we often hear from caregivers — ‘she took care of me when I was young, so I need to help out now that she’s old’ — doesn’t seem to apply in late-life stepfamilies.","Every year, Fran McDowell waited for the summer week when she would sing in a choral festival in the North Carolina mountains, then spend a few days in a lakeside cabin with close women friends.","The New York Times","2013-02-05T11:14:29+0000","article","Health","News","nyt://article/069cd457-ffa5-51c6-b0b2-bfa36ecd3d85",NA,"In Blended Families, Responsibility Blurs","The New Old Age",NA,NA,NA,NA,NA,NA
"The parole of Anthony D. Marshall, son of the late socialite Brooke Astor, raises concern among some experts that financial abuse of the elderly still is not being taken seriously enough.","The parole of Anthony D. Marshall, son of the late socialite Brooke Astor, raises concern among some experts that financial abuse of the elderly still is not being taken seriously enough.","“Almost everything about this case makes me sad — and angry,’’ wrote Nora OBrien-Suric, a senior program officer for The John A. Hartford Foundation, in a recent blog post entitled “A Sordid Criminal Case Raises Important Geriatric Issues.’’","The New York Times","2013-10-04T20:27:30+0000","article","Health","News","nyt://article/66bd7c00-4523-549d-88a1-5db3ab839d44",NA,"In a Quick Parole, Some See an Unwelcome Message","The New Old Age",NA,NA,NA,NA,NA,NA
"A home health aide cannot sue a couple with dementia for an injury sustained while caring for them, the California Supreme Court has ruled.","A home health aide cannot sue a couple with dementia for an injury sustained while caring for them, the California Supreme Court has ruled.","The California Supreme Court has ruled that a home health aide may not sue a client with Alzheimer’s disease for an injury incurred on the job. The case is one of the first in the nation to assess legal remedies available to paid caregivers who work with Alzheimer’s patients at home. ","The New York Times","2014-08-19T09:00:48+0000","article","Health","News","nyt://article/7474c991-bc2b-5113-adcc-87b1d38ca4ff",NA,"California Court Limits Caregiver Suits","The New Old Age",NA,NA,NA,NA,NA,NA
"Honor thy mother and father. Take their stuff.","Honor thy mother and father. Take their stuff.","Adults with older parents or even grandparents will soon be searching for suitable Mother’s Day and Father’s Day gifts. If these presents are not consumables — a box of chocolates or a bottle of spirits — then they will only enlarge the material convoy that accompanies Mom and Dad through their later years.","The New York Times","2013-05-08T15:59:03+0000","article","Health","News","nyt://article/71909f64-b7f2-5dd3-a991-a15ee0b90170",NA,"A Mother’s Day Gift","The New Old Age",NA,NA,NA,NA,NA,NA
"Federal and Washington State officials found failures at Life Care Center of Kirkland during the coronavirus outbreak that spread through the facility.","Federal and Washington State officials found failures at Life Care Center of Kirkland during the coronavirus outbreak that spread through the facility.","SEATTLE — A nursing home linked to dozens of coronavirus deaths in the Seattle area faces a fine of more than $600,000 and other sanctions after federal and state inspectors found a range of problems in how the facility handled the outbreak.","The New York Times","2020-04-02T16:42:09+0000","article","U.S.","News","nyt://article/2a72fe7f-8c5f-5790-9691-7883b6d00832",NA,"Nursing Home Linked to 37 Coronavirus Deaths Faces Fine of $600,000",NA,NA,NA,NA,NA,NA,NA
"Finally, a film about aging that doesn’t depress.","Finally, a film about aging that doesn’t depress.","Attention, moviegoers interested in aging who thought “The Iron Lady” was too depressing, “Nebraska” was too depressing, and “Amour” was off-the-charts depressing. I’ve got a tip for you: “Land Ho!”","The New York Times","2014-07-17T20:47:41+0000","article","Health","News","nyt://article/5623f6e0-33aa-58ad-a3dc-7daab7f6698d",NA,"Warming Times in a Cold Land","The New Old Age",NA,NA,NA,NA,NA,NA
"Paying attention to frailty makes sense for the rest of us and our elders.","Paying attention to frailty makes sense for the rest of us and our elders.","White-haired at 85, Pope Benedict XVI looks a bit hunched in photos. He has had a pacemaker for years, the Vatican recently confirmed for the first time — an indicator of long-standing heart problems. His older brother has said that age is taking its toll.","The New York Times","2013-02-27T10:48:14+0000","article","Health","News","nyt://article/f5bcf4bc-0436-5203-a46d-748aa78b9cee",NA,"Is the Pope Frail?","The New Old Age",NA,NA,NA,NA,NA,NA
"A federal law intended to reform nursing homes requires that a registered nurse be on-site only eight hours a day — whatever the size of the facility.","A federal law intended to reform nursing homes requires that a registered nurse be on-site only eight hours a day — whatever the size of the facility.","They’re called “nursing homes,” so most of us assume that they have nurses — registered nurses — on the premises.","The New York Times","2014-08-13T15:20:08+0000","article","Health","News","nyt://article/7ede48c9-a35e-5d4f-9711-3e7afcd606b4",NA,"Where Are the Nurses?","The New Old Age",NA,NA,NA,NA,NA,NA
"Calculating how much medication an older patient should get and on what schedule is often complicated by erratic meals, vision loss, depression and dementia.","Calculating how much medication an older patient should get and on what schedule is often complicated by erratic meals, vision loss, depression and dementia.","Most people with diabetes are treated with drugs (notably metformin) that don’t put them at risk of unusually low blood sugar, or hypoglycemia, a potentially dangerous side effect. But as patients age and develop other chronic medical conditions, it becomes more difficult for them to tolerate these medications.","The New York Times","2014-06-30T16:21:24+0000","article","Health","News","nyt://article/48d05b7b-9f7b-59e7-ad33-a1f568516e11",NA,"Older People Often Overtreated for Diabetes, Study Suggests","The New Old Age",NA,NA,NA,NA,NA,NA
"Researchers have been studying how much care American adults will require as they age, and for how long.","Researchers have been studying how much care American adults will require as they age, and for how long.","Say you’re a 65-year-old looking ahead, wondering about your health and your finances, pondering what life might be like in 20 years.","The New York Times","2021-10-02T09:00:16+0000","article","Health","News","nyt://article/485a23d2-9713-551d-a0a5-db0acd1c7989",NA,"Tallying the Cost of Growing Older","The New Old Age",NA,"Tallying the Cost of Growing Older",NA,NA,NA,NA
"Digital devices intended to transform elder care often fail, in part because tech entrepreneurs don’t fully understand the task or the consumers.","Digital devices intended to transform elder care often fail, in part because tech entrepreneurs don’t fully understand the task or the consumers.","Daily, breathless announcements arrive in my inbox, heralding technology products for older adults.","The New York Times","2015-10-23T15:56:57+0000","article","Health","News","nyt://article/e5523d46-9e32-51e8-86b6-628f746dda34",NA,"To Reach Seniors, Tech Start-Ups Must First Relate to Them"," The New Old Age",NA,"The Tech Charge to Reach a Senior Market",NA,NA,NA,NA
"Covid-19 has driven down Americans’ demand for senior care facilities. Building support for more elders to remain at home requires systemic changes.","Covid-19 has driven down Americans’ demand for senior care facilities. Building support for more elders to remain at home requires systemic changes.","Regina Smith has dedicated her career to keeping seniors out of nursing homes. A geriatric social worker at an adult day care network in Indianapolis, she strives to provide services that can help people live independently.","The New York Times","2021-04-01T09:00:25+0000","article","Business Day","News","nyt://article/886f4245-41be-5040-9691-7ce54962ebc8",NA,"Turning Away From Nursing Homes, to What?","retiring",NA,"Turning Away From Nursing Homes, to What?",NA,NA,NA,NA
"Debra Drelich, a specialist in geriatric care, answers questions on knowing when it’s time for assisted living and how to avoid pitfalls in selection.","Debra Drelich, a specialist in geriatric care, answers questions on knowing when it’s time for assisted living and how to avoid pitfalls in selection.","Readers have sent more than 100  questions and suggestions to Debra Drelich, a specialist in geriatric care, about assisted living and other special living arrangements for aging relatives. Part 1 of her answers can be read here. ","The New York Times","2013-10-23T12:54:12+0000","article","Booming","Question","nyt://article/0ba237d4-3c4f-542a-b432-3cf2549b9829",NA,"Advice About Assisted Living for Aging Relatives, Part 2",NA,NA,NA,NA,NA,NA,NA
"Millions of workers have voluntarily left their jobs recently, one of the most striking elements of the newly blazing-hot job market.","","Millions of workers have voluntarily left their jobs recently, one of the most striking elements of the newly blazing-hot job market.","The New York Times","2021-06-20T14:23:17+0000","article","Business Day","News","nyt://article/582267c7-6637-50cb-a9f8-465aaaf02739",NA,"With new opportunities and a different perspective, workers are leaving their jobs as the pandemic eases.",NA,NA,NA,NA,NA,NA,NA
"Benefits depend on where people work, and the kind of job they have, a new survey finds, highlighting disparities that predate the pandemic.","Benefits depend on where people work, and the kind of job they have, a new survey finds, highlighting disparities that predate the pandemic.","Parents who are doing several jobs at once during the pandemic — employee, teacher and full-time child care provider — need help. But whether they get it largely depends on where they work.","The New York Times","2020-09-17T09:00:25+0000","article","The Upshot","News","nyt://article/1fc3dd78-5207-561d-a55d-3494365eb2c4",NA,"Private Tutors, Pop-Up Schools or Nothing at All: How Employers Are Helping Parents",NA,NA,"Most Working Parents Forced to Juggle Jobs Without Boss’s Help",NA,NA,NA,NA
"An Oscar-nominated short film examines a prison hospice staffed by inmates.","An Oscar-nominated short film examines a prison hospice staffed by inmates.","When someone on the Academy Awards broadcast on Sunday announces the nominees for best documentary short subject, a lot of viewers will head to the kitchen to refill the Cheetos bowl.","The New York Times","2014-02-28T10:00:20+0000","article","Health","News","nyt://article/fdf9ae68-75f3-57f9-9587-c55d3b7cfa6e",NA,"‘Somebody That Nobody Thought I Could Be’","The New Old Age",NA,NA,NA,NA,NA,NA
"A survey of young doctors finds that they overwhelmingly would not choose heroic resuscitation measures if they had a terminal illness.","A survey of young doctors finds that they overwhelmingly would not choose heroic resuscitation measures if they had a terminal illness.","The researcher was presenting her findings to a room full of geriatricians, at the American Geriatrics Society annual scientific meeting last week in Orlando, Fla. So a slide revealing one particular statistic didn’t cause an audible gasp or murmur. Talking to geriatricians about end-of-life treatment practically defines preaching to the choir, as a member of the audience told me later.","The New York Times","2014-05-20T19:02:53+0000","article","Health","News","nyt://article/9f176f26-1e55-55c5-a0f8-635eed529fab",NA,"Do Not Resuscitate: What Young Doctors Would Choose","The New Old Age",NA,NA,NA,NA,NA,NA
"Residents in West Virginia shared their feelings about being allowed to mix again after months of isolation.","Residents in West Virginia shared their feelings about being allowed to mix again after months of isolation.","This week, The Daily is revisiting some of our favorite episodes of the year and checking in on what has happened in the time since they first ran.","The New York Times","2021-12-30T11:00:08+0000","article","Podcasts","News","nyt://article/63c725d7-1135-5baa-bb3a-baab0982c52a","The Daily","A Nursing Home’s First Day Out of Lockdown: An Update",NA,NA,NA,NA,NA,NA,NA
"Family members are turning to hidden cameras to help confirm suspected abuse in nursing homes, but their use raises legal and ethical questions about liability and privacy rights.","Family members are turning to hidden cameras to help confirm suspected abuse in nursing homes, but their use raises legal and ethical questions about liability and privacy rights.","A pretty nightie, a new lipstick, a fresh toothbrush: Doris Racher noticed that small things she had bought for her 96-year-old mother, Eryetha Mayberry, a dementia patient at a nursing home in Oklahoma City, had been disappearing. Ms. Racher assumed the culprit was another resident who sometimes wandered into her mother’s room and fell asleep in her bed.","The New York Times","2013-11-18T21:31:29+0000","article","Health","News","nyt://article/d25be3f4-aac3-5f39-a837-26c1cbf08556",NA,"Watchful Eye in Nursing Homes","Well",NA,"Watchful Eye in Nursing Homes",NA,NA,NA,NA
"In the final part of our exploration of what happened in New York’s nursing homes, we ask: How did the decisions made by Gov. Andrew Cuomo contribute to the crisis?","In the final part of our exploration of what happened in New York’s nursing homes, we ask: How did the decisions made by Gov. Andrew Cuomo contribute to the crisis?","When the pandemic was bearing down on New York last March, Gov. Andrew Cuomo’s administration issued a directive that allowed Covid-19 patients to be discharged into nursing homes in a bid to free up hospital beds for the sickest patients. It was a decision that had the potential to cost thousands of lives.","The New York Times","2021-02-24T11:00:07+0000","article","Podcasts","News","nyt://article/f2eb4554-887e-5aeb-a6ac-eb085cb621ad","The Daily","When Covid Hit Nursing Homes, Part 2: ‘They’re Not Giving Us an Ending’",NA,NA,NA,NA,NA,NA,NA
"Reporter John Leland writes about particular challenges connected with his series on New York’s elderly.","Reporter John Leland writes about particular challenges connected with his series on New York’s elderly.","There is a risk in planning a long-term project focusing on people age 85 and older, like the one I’ve been reporting since the beginning of the year. (The second installment ran in Sunday’s paper.) The lives of the subjects can change very rapidly, and not necessarily for the better. Whenever I pick up the phone to call one of the six subjects of the series, I hope for a healthy voice on the other end. This makes the series a rarity in the news business; I’m hoping for no news.","The New York Times","2015-07-27T13:25:39+0000","article","Blogs","News","nyt://article/915bfe40-ad83-5769-976e-20ceac8d0e9e",NA,"New York’s Oldest: Reporter’s Notebook","Times Insider",NA,NA,NA,NA,NA,NA
"SeniorAdvisor aims to provide consumer reviews of housing options for older Americans.","SeniorAdvisor aims to provide consumer reviews of housing options for older Americans.","The operators of A Place for Mom, a commercial housing referral service for older adults, have introduced an affiliated Web site aimed at providing consumer reviews of senior care locations.","The New York Times","2013-04-08T19:20:26+0000","article","Your Money","News","nyt://article/549e2630-7e95-5396-989b-ead6f37111fb",NA,"Online Reviews of Senior Housing Options, With Caveats","Bucks",NA,NA,NA,NA,NA,NA
"My dad was a longtime labor activist. He despises what Jeff Bezos built, but he can’t quit it.","My dad was a longtime labor activist. He despises what Jeff Bezos built, but he can’t quit it.","Sharing an Amazon Prime account with loved ones is surprisingly intimate. You’re privy to one another’s impulse buys, fondness for corny ’90s comedies and preferred brands of vaginal suppositories. Like many families, mine shares a login for the ubiquitous delivery behemoth. Every time my dad or my sister orders an item, I see a cheerful red badge pop up on my app: “Your Amazon.com shipment is on its way!”","The New York Times","2018-12-08T19:30:06+0000","article","Opinion","Op-Ed","nyt://article/46f1d456-4227-5f8a-832b-6b4f16938b08","Sunday Review","Hate Amazon? Try Living Without It",NA,NA,"Hate Amazon? Try Living Without It",NA,NA,NA,NA
"Delirium is leaving many older patients more vulnerable. They need caregivers, despite no-visitor rules.","Delirium is leaving many older patients more vulnerable. They need caregivers, despite no-visitor rules.","It used to be taken for granted that old people would get confused and disoriented in the hospital. It is not a minor problem. Delirium, as the condition is called, can keep people in the hospital longer, inhibit treatment and even increase the likelihood of death.","The New York Times","2020-05-10T15:00:06+0000","article","Opinion","Op-Ed","nyt://article/2713ab97-e48f-5d98-b3bd-be0a146d19dd",NA,"The Epidemic Within the Pandemic: Delirium",NA,NA,NA,NA,NA,NA,NA
"To observe Mr. O’Rourke recently is to witness an unfiltered attempt at a midcourse transformation. He says he doesn’t care about political niceties.","To observe Mr. O’Rourke recently is to witness an unfiltered attempt at a midcourse transformation. He says he doesn’t care about political niceties.","KEENE, N.H. — Beto O’Rourke began his rally with a non sequitur.","The New York Times","2019-09-23T09:00:19+0000","article","U.S.","News","nyt://article/d1ac221e-9af9-547f-8a54-62794aad81ff","Politics","With Beto O’Rourke on the Couldn’t-Care-Less Campaign Trail",NA,NA,"A Massacre in El Paso Turned Gun Violence Into O’Rourke’s Priority  ",NA,NA,NA,NA
"The economy seems to be cooling off. Whether it starts to shrink is the question.","The economy seems to be cooling off. Whether it starts to shrink is the question.","The United States is on recession watch as market signals flash red. Manufacturing is straining under President Trump’s trade war, business investment is slowing and consumer confidence is showing cracks. ","The New York Times","2019-09-13T09:00:33+0000","article","Business Day","News","nyt://article/4456451d-a96a-505e-a4cb-19222437a315","Economy","Recession or Slowdown? Why You Should Care About the Difference",NA,NA,"A Cooling Economy, Sure. A Recession? Complicated.",NA,NA,NA,NA
"The decision, by the Department of Health and Human Services, would restore the right to legal action to 1.5 million nursing home residents.","The decision, by the Department of Health and Human Services, would restore the right to legal action to 1.5 million nursing home residents.","The federal agency that controls more than $1 trillion in Medicare and Medicaid funding has moved to prevent nursing homes from forcing claims of elder abuse, sexual harassment and even wrongful death into the private system of justice known as arbitration.","The New York Times","2016-09-28T21:57:31+0000","article","Business Day","News","nyt://article/d3c859fb-d12f-5439-9212-dcbe4b88a045","DealBook","U.S. Just Made It a Lot Less Difficult to Sue Nursing Homes",NA,NA,"No Arbitration, U.S. Agency Tells Nursing Homes",NA,NA,NA,NA
"More on what Medicare quality improvement organizations can do for older patients and their caregivers.","More on what Medicare quality improvement organizations can do for older patients and their caregivers.","Just over a year ago, Medicare quality improvement organizations (Q.I.O.’s) across the country began a practice known as “immediate advocacy.”","The New York Times","2013-08-23T16:23:10+0000","article","Health","News","nyt://article/563a5367-7e03-5d09-9051-a3de1ea3c998",NA,"Faster Assistance for Medicare Patients","The New Old Age",NA,NA,NA,NA,NA,NA
"Suddenly strangers seem to think I’m frail.","Suddenly strangers seem to think I’m frail.","Twenty-five years ago, when the twin daughters of a childhood friend were 7 and I was 41, I told them that someday, when they were grown, I’d babysit for their children. ","The New York Times","2014-04-04T22:13:29+0000","article","Health","News","nyt://article/6704c30d-b54c-5de6-9ae7-aa8a284726de",NA,"What, Me Old?","The New Old Age",NA,NA,NA,NA,NA,NA
"Some adults with Medicare may be able to buy dental coverage on the new insurance exchanges, but there are many drawbacks.","Some adults with Medicare may be able to buy dental coverage on the new insurance exchanges, but there are many drawbacks.","Older adults and their caregivers have complained for years that Medicare, which now covers 52 million Americans, does not provide dental benefits. ","The New York Times","2013-11-01T15:57:41+0000","article","Health","News","nyt://article/ace35f67-29e4-5674-8309-e6f0c5fc2560",NA,"Dental Coverage on the Insurance Exchanges","The New Old Age",NA,NA,NA,NA,NA,NA
"Doctors who care for older patients see little use for popular nutritional drinks marketed to seniors.","Doctors who care for older patients see little use for popular nutritional drinks marketed to seniors.","Bottles of liquid nutritional supplements have become such staples in older people’s refrigerators, in nursing homes and assisted living facilities, and in hospitals, that it’s easy to assume they serve a useful purpose for seniors who are losing weight.","The New York Times","2014-05-22T17:23:53+0000","article","Health","News","nyt://article/54e3e3ef-abea-5977-ac20-6415abc11d85",NA,"Geriatricians: Beware ‘Liquid Candy’","The New Old Age",NA,"Call to Halt Feeding via Liquids",NA,NA,NA,NA
"Continuing care retirement communities are regulated by a loose patchwork of state laws.","Continuing care retirement communities are regulated by a loose patchwork of state laws.","“I’m not naïve about the corporate world,” Burton Richter told me when we spoke about the class action lawsuit he and other residents are bringing against Vi at Palo Alto, a very upscale continuing care retirement community. ","The New York Times","2014-03-21T21:24:07+0000","article","Health","News","nyt://article/5cde0f28-e57f-5908-88b9-a5d087811dc0",NA,"In Many States, Few Legal Rights for C.C.R.C. Residents","The New Old Age",NA,NA,NA,NA,NA,NA
"How caregivers can use technology to help older people minimize going to the doctor during this pandemic.","How caregivers can use technology to help older people minimize going to the doctor during this pandemic.","In the United States today, there are approximately four million older adults who are not in nursing facilities but who need help with personal care (bathing, dressing or eating) and another 3.5 million older adults who need assistance in areas such as finances and cooking to live independently. These older adults depend on caregivers, either paid home health aides or unpaid family members, for their day-to-day existence. Both family caregivers and those they care for need to rapidly adapt if they are to remain safe during the coronavirus epidemic.","The New York Times","2020-03-31T09:00:06+0000","article","Well","News","nyt://article/661415bf-e3e2-5be6-8455-6c85bf57dc6d","Family","Keeping Older People Safe During the Coronavirus Crisis",NA,NA,"Keeping Older People Safe During The Coronavirus Crisis",NA,NA,NA,NA
"Effective Jan. 1, Medicare will cover the costs of mental health care much as it does other medical expenses.","Effective Jan. 1, Medicare will cover the costs of mental health care much as it does other medical expenses.","For decades, older adults with depression, anxiety and other psychological conditions have received unequal treatment under Medicare. The program paid a smaller share of the bill for therapy from psychiatrists, psychologists or clinical social workers than it did for medical services. And Medicare imposed strict lifetime limits on stays in psychiatric hospitals, although no such limits applied to medical care received in inpatient facilities.","The New York Times","2013-12-27T23:46:26+0000","article","Health","News","nyt://article/e178470a-d28b-5724-bc6c-7f4277dbc810",NA,"Medicare to Cover More Mental Health Costs","The New Old Age",NA,NA,NA,NA,NA,NA
"Animals exposed to continuous light had less muscle strength and developed signs of early-stage osteoporosis, suggesting that nonstop lighting in hospitals and nursing homes may be harmful to patients.","Animals exposed to continuous light had less muscle strength and developed signs of early-stage osteoporosis, suggesting that nonstop lighting in hospitals and nursing homes may be harmful to patients.","Every day people are exposed to hours of artificial light from a variety of sources – computers, video games, office lights and, for some, 24-hour lighting in hospitals and nursing homes. ","The New York Times","2016-08-12T14:04:43+0000","article","Health","News","nyt://article/d8f3bcd3-8d7c-5826-b7ca-51e575bd2e94",NA,"Excess Light Exposure May Take Toll on Muscles and Bones","Well",NA,"Body: Light May Affect Strength",NA,NA,NA,NA
"With a partition in front of him, Elian Peltier, a New York Times reporter, experienced a strange new reality when he checked in on his relations at a nursing home outside Paris.","With a partition in front of him, Elian Peltier, a New York Times reporter, experienced a strange new reality when he checked in on his relations at a nursing home outside Paris.","Elian Peltier, who is based in London, covered the coronavirus pandemic in Spain before returning to his home country, France. We asked him to tell us about a visit to his grandparents.","The New York Times","2020-05-26T15:45:21+0000","article","World","News","nyt://article/312d127f-df24-51de-b522-c0b2f5c66123","Europe","Visiting My Grandparents, Separated by Plexiglass",NA,NA,NA,NA,NA,NA,NA
"CBS and Viacom have had very different fortunes since they split, but could it be time for them to get back together?","CBS and Viacom have had very different fortunes since they split, but could it be time for them to get back together?","Could it be time for CBS and Viacom to get back together again?","The New York Times","2016-09-29T10:00:47+0000","article","Business Day","News","nyt://article/0d208cef-d2e7-512f-8ea6-df8d0a3f54a2","DealBook","Morning Agenda: CBS and Viacom, Rules on Arbitration, Deutsche Bank Gloom",NA,NA,NA,NA,NA,NA,NA
"Revealed: the semi-secret phone numbers that beneficiaries are supposed to use to complain to Medicare.","Revealed: the semi-secret phone numbers that beneficiaries are supposed to use to complain to Medicare.","How Medicare handles complaints and appeals is no trivial matter — the Centers for Medicare and Medicaid Services says it reviews more than 100,000 of them a year. Beneficiaries file roughly 16,000 annually related to hospital care (mostly contesting discharges) and 18,000 about nursing homes, home health services and hospice programs. And 30,000 other complaints and appeals concern Medicare Advantage programs.","The New York Times","2014-08-28T16:28:33+0000","article","Health","News","nyt://article/09c17dd8-9af0-5256-beaa-1c3a8c4d969f",NA,"How to Complain to Medicare","The New Old Age",NA,NA,NA,NA,NA,NA
